"ISO-date","Name","PMB-id","Latitude","Longitude","Type","Wikidata"
1921-08-06,"?? [Unterkunft von Edmund G. Schwarz, Altaussee 1921]",pmb291590,"","","Wohngebäude Residential building"
1921-08-13,"?? [Unterkunft von Edmund G. Schwarz, Altaussee 1921]",pmb291590,"","","Wohngebäude Residential building"
1921-08-15,"?? [Unterkunft von Edmund G. Schwarz, Altaussee 1921]",pmb291590,"","","Wohngebäude Residential building"
1921-08-22,"?? [Unterkunft von Edmund G. Schwarz, Altaussee 1921]",pmb291590,"","","Wohngebäude Residential building"
1921-08-06,"?? [Unterkunft von Jakob und Martha Wassermann »oberhalb Filtsch«, August 1921]",pmb291601,"","","Wohngebäude Residential building"
1921-08-18,"?? [Unterkunft von Johanna Nemetschke, August 1921]",pmb291668,"","","Wohngebäude Residential building"
1921-08-19,"?? [Unterkunft von Josef Simon, Altaussee, August 1921]",pmb291675,"","","Wohngebäude Residential building"
1921-06-17,"?? [Unterkunft von Robert und Vilma Lichtenstern, Altaussee 1921]",pmb291502,"","","Wohngebäude Residential building"
1921-07-30,"?? [Unterkunft von Robert und Vilma Lichtenstern, Altaussee 1921]",pmb291502,"","","Wohngebäude Residential building"
1921-08-01,"?? [Unterkunft von Robert und Vilma Lichtenstern, Altaussee 1921]",pmb291502,"","","Wohngebäude Residential building"
1921-08-11,"?? [Unterkunft von Robert und Vilma Lichtenstern, Altaussee 1921]",pmb291502,"","","Wohngebäude Residential building"
1921-08-14,"?? [Unterkunft von Robert und Vilma Lichtenstern, Altaussee 1921]",pmb291502,"","","Wohngebäude Residential building"
1921-08-16,"?? [Unterkunft von Robert und Vilma Lichtenstern, Altaussee 1921]",pmb291502,"","","Wohngebäude Residential building"
1921-08-22,"?? [Unterkunft von Robert und Vilma Lichtenstern, Altaussee 1921]",pmb291502,"","","Wohngebäude Residential building"
1901-06-30,"?? [Unterkunft von Schnitzler und Gussmann in St. Anton. 1901]",pmb333633,"","","Wohngebäude Residential building"
1901-07-01,"?? [Unterkunft von Schnitzler und Gussmann in St. Anton. 1901]",pmb333633,"","","Wohngebäude Residential building"
1901-07-02,"?? [Unterkunft von Schnitzler und Gussmann in St. Anton. 1901]",pmb333633,"","","Wohngebäude Residential building"
1901-07-03,"?? [Unterkunft von Schnitzler und Gussmann in St. Anton. 1901]",pmb333633,"","","Wohngebäude Residential building"
1901-07-04,"?? [Unterkunft von Schnitzler und Gussmann in St. Anton. 1901]",pmb333633,"","","Wohngebäude Residential building"
1901-07-05,"?? [Unterkunft von Schnitzler und Gussmann in St. Anton. 1901]",pmb333633,"","","Wohngebäude Residential building"
1901-07-06,"?? [Unterkunft von Schnitzler und Gussmann in St. Anton. 1901]",pmb333633,"","","Wohngebäude Residential building"
1901-07-07,"?? [Unterkunft von Schnitzler und Gussmann in St. Anton. 1901]",pmb333633,"","","Wohngebäude Residential building"
1901-07-08,"?? [Unterkunft von Schnitzler und Gussmann in St. Anton. 1901]",pmb333633,"","","Wohngebäude Residential building"
1901-07-09,"?? [Unterkunft von Schnitzler und Gussmann in St. Anton. 1901]",pmb333633,"","","Wohngebäude Residential building"
1901-07-10,"?? [Unterkunft von Schnitzler und Gussmann in St. Anton. 1901]",pmb333633,"","","Wohngebäude Residential building"
1901-07-11,"?? [Unterkunft von Schnitzler und Gussmann in St. Anton. 1901]",pmb333633,"","","Wohngebäude Residential building"
1901-07-12,"?? [Unterkunft von Schnitzler und Gussmann in St. Anton. 1901]",pmb333633,"","","Wohngebäude Residential building"
1920-08-31,"?? [Urlaubsadresse von Rudolf und Hanna Askonas, Altaussee? 1920]",pmb291005,"","","Wohngebäude Residential building"
1920-09-03,"?? [Urlaubsadresse von Rudolf und Hanna Askonas, Altaussee? 1920]",pmb291005,"","","Wohngebäude Residential building"
1922-08-21,"?? [Villa in Schönau am Königssee]",pmb289869,"","","Wohngebäude Residential building"
1909-06-18,"?? [Von Burckhard gepachtete Alm]",pmb248783,"","","Alm Alpine pasture"
1921-09-22,"?? [Wirtshaus vis-à-vis Sternwartestraße 71]",pmb292632,"","","Restaurant Restaurant"
1921-09-24,"?? [Wirtshaus vis-à-vis Sternwartestraße 71]",pmb292632,"","","Restaurant Restaurant"
1919-08-30,"?? [Wohnadresse von Viktor und Marianne Zuckerkandl 1919–1920]",pmb281825,"","","Wohngebäude Residential building"
1920-01-22,"?? [Wohnadresse von Viktor und Marianne Zuckerkandl 1919–1920]",pmb281825,"","","Wohngebäude Residential building"
1920-08-27,"?? [Wohngebäude von Roman Resch]",pmb290941,"","","Wohngebäude Residential building"
1921-06-17,"?? [Wohngebäude von Roman Resch]",pmb290941,"","","Wohngebäude Residential building"
1921-06-18,"?? [Wohngebäude von Roman Resch]",pmb290941,"","","Wohngebäude Residential building"
1921-07-28,"?? [Wohngebäude von Roman Resch]",pmb290941,"","","Wohngebäude Residential building"
1921-07-31,"?? [Wohngebäude von Roman Resch]",pmb290941,"","","Wohngebäude Residential building"
1921-08-20,"?? [Wohngebäude von Roman Resch]",pmb290941,"","","Wohngebäude Residential building"
1921-08-23,"?? [Wohngebäude von Roman Resch]",pmb290941,"","","Wohngebäude Residential building"
1925-01-08,"?? [Wohnung von Marie Glümer, München 1925]",pmb251756,"","","Wohnung Apartment"
1927-12-03,"?? [Wohnung von Olga Schnitzler, Berlin 1927]",pmb249103,"","","Wohngebäude Residential building"
